ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
-	abneɡe	abneɡare	abneɣaɾ	ɐbnɨɡaɹ	abnɛɡaːrɛ
abnorm	-	abnɔrme	-	-	abnoːrmɛm
-	-	-	abnwiɾ	ɐbnuiɹ	abnʊɛrɛ
-	abolisjɔ̃	abolitsione	aβoliθjon	ɐbulisɐ̃ʊ̃	abɔlɪtɪoːnɛm
-	-	abɔmazo	aβomaso	ɐbumazʊ	abɔmaːsʊm
-	abominasjɔ̃	abominatsione	aβominaθjon	ɐbuminɐsɐ̃ʊ̃	aboːmɪnaːtɪoːnɛm
-	abomine	-	-	-	aboːmɪnaːrɛ
-	abomine	abominare	aβominaɾ	ɐbuminaɹ	aboːmɪnaːriː
-	-	abradere	-	-	abraːdɛrɛ
-	-	-	-	ɐbɹɨnũŋsiɐsɐ̃ʊ̃	abrɛnʊntɪaːtɪoːnɛm
-	-	-	aβɾoɣaθjon	abʁuɡɐsɐ̃ʊ̃	abrɔɡaːtɪoːnɛm
abroɡa	abʁoʒe	abroɡare	aβɾoɣaɾ	abʁuɡaɹ	abrɔɡaːrɛ
-	oʁɔn	abrotano	aβɾotano	ɐbɹɔtɐnʊ	abrɔtɔnʊm
-	abʁɔ̃pʁ	-	-	-	abrʊmpɛrɛ
-	-	-	-	ɐbɹupsɐ̃ʊ̃	abrʊptɪoːnɛm
-	absis	-	aβsθisa	-	abskɪndɛrɛ
-	-	-	-	ɐbsisɐ	abskɪssam
askunde	abskɔ̃dʁ	askondere	eskondeɾ	ʃkuŋdeɹ	abskɔndɛrɛ
askuns	abskɔ̃	askozo	eskuso	-	abskɔnsʊm
-	-	-	aʊsentaɾ	-	absɛntaːrɛ
-	absolysjɔ̃	assolutsione	aβsoluθjon	ɐbsulusɐ̃ʊ̃	absɔluːtɪoːnɛm
absolvʲi	absudʁ	assolvere	aβsolβeɾ	ɐbsulveɹ	absɔlwɛrɛ
-	absɔʁpsjɔ̃	-	aβsoɾθjon	ɐbsuɾəsɐ̃ʊ̃	absɔrptɪoːnɛm
-	-	astemio	aβstemjo	ɐbstɛmjʊ	absteːmɪʊm
-	abstɛʁʒe	astɛrdʒere	aβsteɾxeɾ	ɐbstɨɾəʒeɹ	abstɛrɡeːrɛ
abtsine	abstniʁ	astenere	aβsteneɾ	ɐbsteɹ	abstɪneːrɛ
abstradʒe	abstʁɛʁ	astrarre	aβstɾaeɾ	ɐbstɹɐiɹ	abstrahɛrɛ
-	-	-	-	ɐbstɹuiɹ	abstruːdɛrɛ
-	-	-	-	ɐbstɹuzɐ̃ʊ̃	abstruːsɪoːnɛm
-	abstʁy	astruzo	-	-	abstruːsʊm
absurditate	absyʁdite	assurdita	aβsuɾðiðad	ɐbsuɾədidadɨ	absʊrdɪtaːtɛm
-	-	-	aβundantisimo	-	abʊndaːntɪssɪmʊm
-	-	-	-	ɐbuzɐ̃ʊ̃	abuːsɪoːnɛm
abuziv	abyzif	-	aβusiβo	ɐbuzivʊ	abuːsiːwʊm
abuza	abyze	abuzare	-	ɐbuzaɹ	abuːtiː
-	abim	abisso	aβismo	ɐbiʒmʊ	abyssʊm
-	akademi	akkadɛmia	akaðemja	ɐkɐdɨmiɐ	akadeːmiːam
akantə	akɑ̃t	akanto	akanto	ɐkɐ̃ŋtʊ	akantʰʊm
-	-	-	-	ɐkɐtɐlɨpsiɐ	akataleːpsɪam
-	-	-	akalðaɾ	-	akkapɪtaːrɛ
-	aksede	atʃʃedere	akθeðeɾ	ɐsɨdeɹ	akkeːdɛrɛ
-	-	-	-	ɐsɨleɾɐtɔɾjʊ	akkɛlɛraːtoːrɪʊm
-	-	atʃʃɛndere	-	ɐseɪŋdeɹ	akkɛndɛrɛ
aktʃent	aksɑ̃	atʃʃɛnto	aθɛnto	ɐseɪŋtʊ	akkɛntʊm
-	aksɛpsjɔ̃	atʃʃetsione	aθepθjon	ɐsɨpsɐ̃ʊ̃	akkɛptɪoːnɛm
-	aksɛsjɔ̃	atʃʃession	akθesjon	ɐsɨsɐ̃ʊ̃	akkɛssɪoːnɛm
-	aksɛswaʁ	atʃʃessɔrio	-	ɐsɨsɔɾjʊ	akkɛssoːrɪʊm
-	-	-	akθeso	ɐsɛsʊ	akkɛssʊm
-	-	-	-	ɐsideɪŋtɨ	akkɪdɛntɛm
-	-	-	-	ɐsideɪŋsjɐ	akkɪdɛntɪam
-	aksɛpte	atʃʃettare	aθepptaɾ	ɐseɪtaɹ	akkɪpɛrɛ
-	otuʁ	astore	aθoɾ	ɐsoɹ	astʊrɛm
-	-	-	aklaɾaɾ	ɐklɐɾaɹ	akklaːraːrɛ
-	-	akkline	-	-	akkliːnɛm
-	-	-	-	ɐklividadɨ	akkliːwɪtaːtɛm
-	akɔmodasjɔ̃	akkomodatsione	akomoðaθjon	ɐkumudɐsɐ̃ʊ̃	akkɔmmɔdaːtɪoːnɛm
-	-	-	akonsexaɾ	ɐkuŋsɨʎaɹ	akkɔŋkɪlɪaːrɛ
-	-	akkreʃere	akɾeθeɾ	ɐkɹɨseɹ	akkreːskɛrɛ
akretsje	akʁesjɔ̃	akkretsione	akɾeθjon	ɐkɹɨsɐ̃ʊ̃	akkreːtɪoːnɛm
-	-	-	-	ɐkubitʊ	akkʊbɪtʊm
-	akymylasjɔ̃	akkumulatsione	akumulaθjon	ɐkumulɐsɐ̃ʊ̃	akkʊmʊlaːtɪoːnɛm
-	-	-	akuɾaɾ	-	akkuːraːrɛ
-	akuʁiʁ	akkɔrrere	akoreɾ	ɐkuʁeɹ	akkʊrrɛrɛ
-	akyzabl	akkuzabile	-	ɐkuzavɛl	akkuːsaːbɪlɛm
-	-	-	-	ɐkuzɐ̃ŋtɨ	akkuːsantɛm
akuzatsje	akyzasjɔ̃	akkuzatsione	akusaθjon	ɐkuzɐsɐ̃ʊ̃	akkuːsaːtɪoːnɛm
akuzətor	akyzatœʁ	akkuzatore	akusaðoɾ	ɐkuzɐdoɹ	akkuːsaːtoːrɛm
-	akyzatwaʁ	akkuzatɔrio	akusatoɾjo	ɐkuzɐtɔɾjʊ	akkuːsaːtoːrɪʊm
-	-	akkuzatritʃe	-	-	akkuːsaːtriːkɛm
akuza	akyze	akkuzare	akusaɾ	ɐkuzaɹ	akkuːsaːrɛ
-	-	atʃʃidia	-	ɐsɛdjɐ	akeːdɪam
-	-	-	aθefalo	ɐsɛfɐlʊ	akɛpʰalʊm
artsar	eʁabl	atʃero	aθeɾe	asɨɹ	aːkrɛm
-	-	atʃerbita	aθeɾβiðad	ɐsɨɾəbidadɨ	akɛrbɪtaːtɛm
atʃerb	asɛʁb	atʃɛrbo	aθeɾβo	ɐsɛɾəbʊ	akɛrbʊm
-	-	tʃɛrnia	-	-	akɛrnɪam
-	-	-	-	ɐsɨɾəvɐsɐ̃ʊ̃	akɛrwaːtɪoːnɛm
-	-	-	aθeɾβaɾ	-	akɛrwaːrɛ
-	-	-	aθeɾβo	ɐseɾəvʊ	akɛrwʊm
atʃetabul	asetabyl	atʃetabolo	-	ɐsɨtabulʊ	akeːtaːbʊlʊm
otset	-	atʃeto	aθeðo	ɐzedʊ	akeːtʊm
-	aɡat	aɡata	aɣata	aɡɐtɐ	akʰaːteːn
atsə	-	atʃʃa	-	-	akɪam
-	-	-	-	ɐsikulɐ	akɪkʊlam
-	-	atʃidita	-	ɐsididadɨ	akɪdɪtaːtɛm
-	asje	atʃʃaio	aθ	aʃ	akɪɛm
-	-	atʃino	-	asinʊ	akɪnʊm
-	-	akonito	-	ɐkonitʊ	akɔniːtʊm
-	akjɛse	-	-	ɐkiɨseɹ	akkwɪeːskɛrɛ
-	akeʁiʁ	akkwizire	adkiɾiɾ	ɐdkiɾiɹ	akkwiːrɛrɛ
akizitsje	akizisjɔ̃	akkwizitsione	adkisiθjon	ɐkizisɐ̃ʊ̃	akkwɪsiːtɪoːnɛm
-	akʁimoni	akrimɔnia	akɾimonja	ɐkɹimonjɐ	aːkrɪmoːnɪam
-	akʁəte	-	-	ɐkɹidadɨ	aːkrɪtaːtɛm
-	-	-	akɾitud	ɐkɹitudɨ	aːkrɪtuːdɪnɛm
-	-	-	-	ɐkɹuɐ̃mɐ	akrɔaːma
-	-	-	akta	atɐ	aːkta
-	-	-	-	ɐteɪɐ	aktaɪam
aktivitate	aktivite	attivita	aktiβiðad	ɐtividadɨ	aːktiːwɪtaːtɛm
-	aktif	attivo	aktiβo	ɐtivʊ	aːktiːwʊm
aktor	aktœʁ	attore	aktoɾ	ɐtoɹ	aːktoːrɛm
-	aktʁis	attritʃe	aktɾiθ	ɐtɹiʃ	aːktriːkɛm
-	aktyɛl	attuale	-	ɐtuɑl	aktʊaːlɛm
-	aktyɛʁ	attuario	aktwaɾjo	-	aːktʊaːrɪʊm
-	-	attuare	aktwaɾ	ɐtuaɹ	aːktʊaːrɛ
akt	akt	atto	akto	atʊ	aːktʊm
akar	-	-	-	-	akʊaːrɪʊm
akulew	eɡlɑ̃tje	akuleo	akuleo	ɐkuliʊ	akʊlɛʊm
-	-	akume	akumen	-	akuːmɛn
-	-	akuminare	-	ɐkuminaɹ	akuːmɪnaːrɛ
ak	-	aɡo	-	-	akʊm
-	-	-	aðekwaθjon	-	adaɪkwaːtɪoːnɛm
-	-	-	aðekwaɾ	-	adaɪkwaːrɛ
djamant	ɛmɑ̃	adamante	aðamante	ɐdɐmɐ̃ŋtɨ	adamantɛm
-	-	-	aðamaɾ	-	adamaːrɛ
adəwɡa	-	-	-	-	adaʊɡeːrɛ
-	-	addetʃimare	-	-	addɛkɪmaːrɛ
-	-	addire	aðikaɾ	-	addiːkɛrɛ
adiktsie	adiksjɔ̃	-	aðikθjon	ɐdisɐ̃ʊ̃	addɪktɪoːnɛm
-	adikt	addetto	aðikto	ɐditʊ	addɪktʊm
-	-	-	aðitamɛnto	ɐditɐmeɪŋtʊ	addɪtaːmɛntʊm
-	adisjɔ̃	additsione	aðiθjon	ɐdisɐ̃ʊ̃	addɪtɪoːnɛm
-	-	-	aðiɾ	ɐdiɹ	addɛrɛ
adormʲi	-	addormire	aðoɾmiɾ	ɐduɾəmiɹ	addɔrmiːrɛ
-	-	-	aðoɾmeθeɾ	ɐduɾəmɨseɹ	addɔrmiːskɛrɛ
-	-	adire	aðiɾ	-	adiːrɛ
-	-	adespoto	-	-	adɛspɔtɔn
-	-	addjatʃʃo	-	-	adɪakeːrɛ
-	-	-	-	ɐdiɐ̃ŋtʊ	adɪantʊm
-	-	adipe	-	adipɨ	adɪpɛm
-	-	adito	-	aditʊ	adɪtʊm
-	adʒydikasjɔ̃	adʒʒudikatsione	aðxuðikaθjon	ɐdʒudikɐsɐ̃ʊ̃	adɪuːdɪkaːtɪoːnɛm
adʒudeka	adʒyʒe	adʒʒudikare	aðxuðikaɾ	ɐdʒudikaɹ	adɪuːdɪkaːrɛ
-	adʒɔ̃ksjɔ̃	adʒʒuntsione	-	ɐdʒũŋsɐ̃ʊ̃	adɪʊŋktɪoːnɛm
-	-	adʒʒunto	aðxunto	ɐdʒũŋtʊ	adɪʊŋktʊm
aʒuŋdʒe	adʒwɛ̃dʁ	adʒʒundʒere	-	ɐdʒũŋʒiɹ	adɪʊŋɡɛrɛ
-	adʒyʁasjɔ̃	-	-	ɐdʒuɾɐsɐ̃ʊ̃	adɪuːraːtɪoːnɛm
-	-	-	-	ɐdʒuɾɐdoɹ	adɪuːraːtoːrɛm
-	adʒyʁe	-	-	-	adɪuːraːrɛ
aʒutor	-	-	-	-	adɪuːtoːrɪʊm
-	-	adjuvare	-	-	adɪʊwaːrɛ
-	-	-	adminikulo	ɐdminikulʊ	admɪnɪkʊlʊm
-	administʁe	amministrare	administɾaɾ	ɐdminiʃtɹaɹ	admɪnɪstraːrɛ
admiɾabil	admiʁabl	ammirabile	admiɾaβle	-	admiːraːbɪlɛm
-	-	-	-	ɐdmiɾɐbilidadɨ	admiːraːbɪlɪtaːtɛm
-	-	-	-	ɐdmiɾɐdoɹ	admiːraːtoːrɛm
-	-	-	-	ɐdmisoɹ	admɪssoːrɛm
admite	admɛtʁ	ammettere	admitiɾ	ɐdmitiɹ	admɪttɛrɛ
-	admonɛste	ammonire	amonestaɾ	ɐdmuɨʃtaɹ	admɔneːrɛ
-	admonisjɔ̃	ammonitsione	admoniθjon	ɐdmunisɐ̃ʊ̃	admɔnɪtɪoːnɛm
-	-	annodare	-	-	adnoːdaːrɛ
-	-	annuire	anwiɾ	ɐnuiɹ	adnʊɛrɛ
adja	-	-	-	-	adɔleːrɛ
-	-	-	-	ɐdulɨseɹ	adɔleːskɛrɛ
-	adoʁasjɔ̃	adoratsione	aðoɾaθjon	ɐduɾɐsɐ̃ʊ̃	adoːraːtɪoːnɛm
-	-	-	aðoɾnaɾ	-	adoːrnaːrɛ
adoɾa	adoʁe	adorare	aðoɾaɾ	ɐduɾaɹ	adoːraːrɛ
-	adylasjɔ̃	-	aðulaθjon	ɐdulɐsɐ̃ʊ̃	aduːlaːtɪoːnɛm
-	adylatœʁ	adulatore	aðulaðoɾ	ɐdulɐdoɹ	aduːlaːtoːrɛm
-	adolɛsɑ̃s	adoleʃɛntsa	aðolesθɛnθja	ɐdulɨseɪŋsjɐ	adʊleːskɛntɪam
-	adyle	adulare	aðulaɾ	ɐdulaɹ	aduːlaːriː
-	avutʁ	-	aðulteɾo	ɐdultɨɾʊ	adʊltɛrʊm
-	-	adulterino	aðulteɾino	-	adʊltɛriːnʊm
-	adylteʁe	adulterare	aðulteɾaɾ	ɐduwtɨɾaɹ	adʊltɛraːrɛ
adumbri	-	adombrare	-	-	adʊmbraːrɛ
-	-	-	-	ɐdunɐsɐ̃ʊ̃	aduːnaːtɪoːnɛm
adɨnk	-	adunko	aðunko	ɐdũŋkʊ	adʊŋkʊm
aduna	-	adunare	aʊnaɾ	-	aduːnaːrɛ
-	-	-	aðuɾiɾ	-	aduːrɛrɛ
-	-	-	aðβekθjon	ɐdvɛsɐ̃ʊ̃	adwɛktɪoːnɛm
-	-	-	-	advɨnɐ	adwɛnam
-	avniʁ	avvenire	aβeniɾ	ɐviɹ	adwɛniːrɛ
-	advɛʁbjal	avverbjale	aðβeɾβjal	ɐdvɨɾəbiɑl	adwɛrbɪaːlɛm
-	-	-	-	ɐdvɨɾəsɐ̃ʊ̃	adwɛrsɪoːnɛm
-	-	-	aðβeɾsaɾ	-	adwɛrsaːriː
-	-	-	-	ɐdvɨɾəteɪŋsjɐ	adwɛrtɛntɪam
-	avɛʁtiʁ	avvertire	aðβeɾtiɾ	ɐdvɨɾətiɹ	adwɛrtɛrɛ
-	-	-	aðβokaθjon	ɐdvukɐsɐ̃ʊ̃	adwɔkaːtɪoːnɛm
-	avwe	-	aβoɣaɾ	-	adwɔkaːrɛ
-	-	avvoldʒere	-	-	adwɔlwɛrɛ
-	-	-	-	aditʊ	adytʊm
-	-	edikola	-	edikulɐ	aɪdɪkʊlam
-	-	-	eðifikaθjon	edifikɐsɐ̃ʊ̃	aɪdɪfɪkaːtɪoːnɛm
-	edifje	edifikare	eðifikaɾ	edifikaɹ	aɪdɪfɪkaːrɛ
-	edil	-	eðil	ɨdil	aɪdiːlɛm
-	-	-	eðiliðad	edilidadɨ	aɪdiːlɪtaːtɛm
-	-	eɡro	-	ɛɡɹʊ	aɪɡrʊm
-	-	edʒitsiako	aθjaɣo	ɐziaɡʊ	aɪɡyptɪakʊm
-	-	edʒitsio	-	-	aɪɡyptɪʊm
-	-	emulatore	-	emulɐdoɹ	aɪmʊlaːtoːrɛm
-	-	emulatritʃe	-	-	aɪmʊlaːtriːkɛm
-	emyl	ɛmulo	emulo	ɛmulʊ	aɪmʊlʊm
-	-	-	eneo	ɛniʊ	aeːnɛʊm
-	-	-	-	ekwɐbilidadɨ	aɪkwaːbɪlɪtaːtɛm
-	eɡalite	-	iɣwalðad	iɡwɑldadɨ	aɪkwaːlɪtaːtɛm
-	-	ekwanime	-	-	aɪkwanɪmɛm
-	ekwanimite	ekwanimita	ekwanimiðad	ekwɐnimidadɨ	aɪkwanɪmɪtaːtɛm
-	ekwatoʁjal	-	-	-	aɪkwatɔrɪaːlɛm
-	ekilibʁ	ekwilibrio	ekiliβɾio	ekilibrjʊ	aɪkwɪliːbrɪʊm
-	-	-	ekipaɾaɾ	-	aɪkwɪparaːrɛ
-	-	ekwipaɾare	ekipaɾaɾ	ekipɐɾaɹ	aɪkwɪpɛraːrɛ
-	-	ekwizono	-	-	aɪkwɪsɔnʊm
-	-	-	-	ekivɐleɪŋsjɐ	aɪkwɪwalɛntɪam
-	ekivalwaʁ	ekwivalɛre	ekiβaleɾ	-	aɪkwɪwaleːrɛ
-	-	-	-	ekivukɐsɐ̃ʊ̃	aɪkwɪwɔkaːtɪoːnɛm
-	-	ekwivokare	ekiβokaɾ	-	aɪkwɪwɔkaːrɛ
-	-	-	-	ekwɔɾiʊ	aɪkwɔrɛʊm
-	-	ɛkwo	-	ɛkwʊ	aɪkwʊm
ajer	ɛʁ	aria	aɪɾe	aɹ	aːɛrɛm
eɾə	ɛʁ	ɛra	eɾa	ɛɾɐ	aɪram
-	-	erario	-	eɾaɾjʊ	aɪraːrɪʊm
-	-	-	-	ɛɾiʊ	aɪrɛʊm
-	-	-	aeɾeo	ɐɛɾiʊ	aːɛrɪʊm
-	aeʁomɑ̃si	aeromantsia	aeɾomanθia	ɐɨɾumɐ̃ŋsiɐ	aːɛrɔmantiːam
-	-	erozo	-	-	aɪroːsʊm
rudʒinos	eʁyʒinø	rudʒʒinozo	eɾuxinoso	ɐɨɾuʒinozʊ	aɪruːɡɪnoːsʊm
rudʒinə	-	rudʒʒine	eɾuxine	ɐɨɾuʒitɐ	aɪruːɡɪnɛm
-	-	eskio	-	ɛʃkulʊ	aɪskʊlʊm
-	ete	estate	estio	ɨʃtiʊ	aɪstaːtɛm
-	-	stimabile	-	-	aɪstɪmaːbɪlɛm
-	-	-	-	ʃtimɐsɐ̃ʊ̃	aɪstɪmaːtɪoːnɛm
-	-	-	-	ʃtimɐtivɐ	aɪstɪmaːtɪwaːtɛm
-	ɛstival	estivo	estio	ɨʃtiʊ	aɪstiːwʊm
etate	aːʒ	eta	eðad	idadɨ	aɪtaːtɛm
-	etɛʁ	etere	-	ɛtɨɹ	aɪtʰɛrɛm
-	eteʁe	etɛreo	-	etɛɾiʊ	aɪtʰɛrɪʊm
ev	-	ɛvo	eβo	ɛvʊ	aɪwʊm
-	afɛksjɔ̃	affetsione	afekθjon	ɐfeɪsɐ̃ʊ̃	affɛktɪoːnɛm
-	-	affɛtto	afekto	ɐfɛtʊ	affɛktʊm
-	-	-	afjanθaɾ	ɐfiɐ̃ŋsaɹ	affɪdɛntɪaːrɛ
-	afiʁmasjɔ̃	affermatsione	afiɾmaθjon	ɐfiɾəmɐsɐ̃ʊ̃	affɪrmaːtɪoːnɛm
-	afiʁme	affermare	afiɾmaɾ	ɐfiɾəmaɹ	affɪrmaːrɛ
-	afliksjɔ̃	afflitsione	aflikθjon	ɐflisɐ̃ʊ̃	afflɪktɪoːnɛm
-	afliʒe	afflidʒʒere	aflixiɾ	ɐfliʒiɹ	affliːɡɛrɛ
afla	-	-	aʎaɾ	ɐʃaɹ	afflaːrɛ
-	-	-	afluɛnθja	ɐflweɪŋsjɐ	afflʊɛntɪam
afluj	aflye	affluire	afluiɾ	ɐfluiɹ	afflʊɛrɛ
-	-	-	afɾiko	-	aːfrɪkʊm
-	-	-	aɣape	aɡɐpɨ	aɡapeːn
-	aɡaʁik	aɡariko	-	ɐɡaɾikʊ	aɡarɪkʊm
aɡru	ɛʁ	aɡro	aɣɾo	aɡɹʊ	aɡrʊm
-	-	ardʒine	aɾθe	-	aɡɡɛrɛm
-	-	aɡɡlomerare	aɣlomeɾaɾ	ɐɡlumɨɾaɹ	aɡɡlɔmɛraːrɛ
-	aɡlytine	aɡɡlutinare	-	-	aɡɡluːtɪnaːrɛ
-	aɡʁave	aɡɡravare	aɣɾaβaɾ	ɐɡɹɐvaɹ	aɡɡrawaːrɛ
-	aɡʁɛse	aɡɡredire	aɣɾeðiɾ	ɐɡɹɨdiɹ	aɡɡrɛdiː
-	aɡʁeɡasjɔ̃	-	aɣɾeɣaθjon	ɐɡɹɨɡɐsɐ̃ʊ̃	aɡɡrɛɡatɪoːnɛm
-	aɡʁeʒe	aɡɡreɡare	aɣɾeɣaɾ	ɐɡɹɨɡaɹ	aɡɡrɛɡaːrɛ
-	aʒilite	adʒilita	axiliðad	ɐʒilidadɨ	aɡɪlɪtaːtɛm
-	-	-	aina	-	aɡiːnam
-	-	-	axitaðoɾ	ɐʒitɐdoɹ	aɡɪtaːtoːrɛm
adʒitaɾe	aʒite	adʒitare	axitaɾ	ɐʒitaɹ	aɡɪtaːrɛ
-	-	-	aɡnaθjon	-	aŋnaːtɪoːnɛm
-	aɲa	aɲato	aɡnaðo	ɐɡnatʊ	aŋnaːtʊm
mjalə	aɲɛl	aɲɛlla	-	-	aŋnɛllam
mjel	aɲo	aɲɛllo	-	-	aŋnɛllʊm
-	-	-	aɲino	-	aŋniːnʊm
-	-	-	-	ɐɡnisɐ̃ʊ̃	aŋnɪtɪoːnɛm
-	-	-	aɡnomɛnto	-	aŋnoːmɛntʊm
-	-	-	-	ɐ̃ɲʊ	aŋnʊm
-	aʒiʁ	adʒire	axiɾ	ɐʒiɹ	aɡɛrɛ
