ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	ANCESTOR
agresiv	agressif	aggressivo	agresivo	agressivo	aggressivum
agresor	agresseur	aggressore	agresor	agressor	aggressorem
agricol	agricole	agricola	agrícola	agrícola	agricolam
agricultură	agriculture	agricoltura	agricultura	agricultura	agriculturam
ai	ail	aglio	ajo	alho	alium
ajuta	aider	aiutare	ayudar	ajudar	adiutare
albedo	albédo	albedine	albédine	albedo	albedinem
alboare	aubour	albore	albor	alvor	alborem
album	album	album	álbum	álbum	album
aleatoriu	aléatoire	aleatorio	aleatorio	aleatório	aleatorium
alege	allier	alleggere	aligar	alligar	allegare
alegorie	allégorie	allegoria	alegoría	alegoria	allegoriam
algă	algue	alga	alga	alga	algam
algebră	algebre	álgebra	álgebra	álgebra	algebram
aliment	aliment	alimento	alimento	alimento	alimentum
aloe	aloès	aloe	áloe	aloés	aloen
alopecie	alopécie	alopecia	alopecia	alopecia	alopeciam
alpin	alpin	alpino	alpino	alpino	alpinum
alt	autre	altro	otro	outro	alterum
altar	autel	altare	otero	outeiro	altarium
altera	altérer	alterare	alterar	alterar	alterare
alteritate	alterité	alterità	alteridad	alteridade	alteritatem
aluminiu	aluminium	alluminio	aluminio	alumínio	alumen
alveolă	alvéole	alveolo	alveolo	alvéolo	alveolum
amar	amer	amaro	amargo	amargo	amarum
ambasadă	ambassade	ambasciata	embajada	embaixada	ambactum
ambiant	ambiance	ambiente	ambiente	ambiente	ambientem
ambidextru	ambidextre	ambidestro	ambidextro	ambidestro	ambidextrum
ambiguu	ambigu	ambiguo	ambiguo	ambíguo	ambiguum
ambiție	ambition	ambizione	ambición	ambição	ambitionem
ambițios	ambitieux	ambizioso	ambicioso	ambicioso	ambitiosum
ambițiune	ambition	ambizione	ambición	ambição	ambitionem
amenința	menacer	minacciare	amenazar	ameaçar	amminaciare
amfiteatru	amphithéâtre	anfiteatro	anfiteatro	anfiteatro	amphitheatrum
amforă	amphore	anfora	ánfora	ânfora	amphoram
amic	ami	amico	amigo	amigo	amicum
amor	amour	amore	amor	amor	amorem
amplificator	amplificateur	amplificatore	amplificador	amplificador	amplificatorem
amputa	amputer	amputare	amputar	amputar	amputare
amulet	amulette	amuleto	amuleto	amuleto	amuletum
an	ain	anno	año	anno	annum
anaforă	anaphore	anafora	anáfora	anáfora	anaphora
analog	analogue	analogo	análogo	análogo	analogum
analogie	analogie	analogia	analogía	analogia	analogiam
anapest	anapeste	anapesto	anapesto	anapesto	anapaestum
anatemă	anathème	anátema	anatema	anátema	anathema
anatomie	anatomie	anatomia	anatomía	anatomia	anatomiam
ancoră	ancre	ancora	ancla	âncora	ancoram
anexiune	annexion	annessione	anexión	anexação	annexionem
anghilă	anguille	anguilla	anguila	enguia	anguillam
anglican	anglican	anglicano	anglicano	anglicano	anglicanum
anima	animer	animare	animar	animar	animare
animalitate	animalité	animalità	animalidad	animalidade	animalitatem
animație	animation	animazione	animación	animação	animationem
animațiune	animation	animazione	animación	animação	animationem
animozitate	animosité	animosità	animosidad	animosidade	animositatem
aniversar	anniversaire	anniversario	aniversario	aniversário	anniversarium
anomalie	anomalie	anomalia	anomalía	anomalia	anomaliam
antecedent	antécédent	antecedente	antecedente	antecedente	antecedentem
anterior	antérieur	anteriore	anterior	anterior	anteriorem
antic	antique	antico	antiguo	antigo	antiquum
anticar	antichar	antiquario	anticuario	antiquário	antiquarium
antichitate	antiquité	antichità	antigüedad	antiguidade	antiquitatem
anticipație	anticipation	anticipazione	anticipación	antecipação	anticipationem
anticipațiune	anticipation	anticipazione	anticipación	antecipação	anticipationem
antidot	antidote	antidoto	antídoto	antídoto	antidotum
antimoniu	antimoine	antimoniu	antimonio	antimônio	antimonium
antinomie	antinomie	antinomia	antinomia	antinomia	antinomiam
antipatie	antipathie	antipatia	antipatía	antipatia	antipathiam
antipod	antipode	antipode	antípoda	antípoda	antipodes
rabie	rage	rabbia	rabia	raiva	rabiem
anuală	annuel	annuale	anual	anual	annualem
aparență	apparence	apparenza	apariencia	aparência	apparentiam
apatie	apathie	apatia	apatía	apatia	apathiam
apeduct	aqueduc	acquedotto	acueducto	aqueduto	aquaeductum
apendice	appendice	appendice	apéndice	apêndice	appendicem
apendicular	appendiculaire	appendicolare	apendicular	apendicular	appendiculam
aperitiv	apéritif	aperitivo	aperitivo	aperitivo	aperitivum
apertură	aperture	apertura	abertura	abertura	aperturam
apetit	appétit	appetito	apetito	apetite	appetitum
apicultoare	apiculteur	apicultore	apicultor	apicultor	apiscultorem
albină	abeille	ape	abeja	abelha	apem
aplauda	applaudir	applaudire	aplaudir	aplaudir	applaudere
aplica	appliquer	applicare	aplicar	aplicar	applicare
aplicație	application	applicazione	aplicación	aplicação	applicationem
apocopă	apocope	apocope	apócope	apócope	apocopam
apolog	apologue	apologo	apólogo	apólogo	apologum
apologetică	apologétique	apologetica	apologética	apologética	apologeticum
apoplectic	apoplectique	apoplettico	apoplético	apoplético	apoplecticum
apoplexie	apoplectic	apoplessia	apoplejía	apoplexia	apoplexiam
apos	aqueux	acquoso	aguoso	aguoso	aquosum
apostat	apostat	apostata	apóstata	apóstata	apostatam
apostazie	apostasie	apostasia	apostasía	apostasia	apostasiam
apostolic	apostolique	apostolico	apostólico	apostólico	apostolicum
apostrof	apostrophe	apostrofo	apóstrofe	apóstrofo	apostrophum
apostrof	apostrophe	apostrofo	apóstrofe	apóstrofo	apostrophum
apoteoză	apothéose	apoteosi	apoteosis	apoteose	apotheosem
apoziție	apposition	apposizione	aposición	aposição	appositionem
apozițiune	apposition	apposizione	aposición	aposição	appositionem
aprecia	apprécier	apprezzare	apreciar	apreciar	appretiare
aprinde	apprendre	apprendere	aprender	aprender	apprendere
aproba	approuver	approbare	aprobar	aprovar	approbare
apropria	approprier	appropriare	apropiar	apropriar	appropriare
ara	arer	arare	ara	arar	arare
aramă	airain	rame	alambre	arame	aeramen
arbitra	arbitrer	arbitrare	arbitrar	arbitrar	arbitrari
arbitrar	arbitraire	arbitrario	arbitrario	arbitrário	arbitrarium
arbitru	arbitre	arbitro	árbitro	árbitro	arbitrum
arbore	arbre	albero	árbol	arvore	arborem
arborescent	arborescent	arborescente	arborescente	arborescente	arborescentem
arbust	arbuste	arbusto	arbusto	arbusto	arbustum
arc	arc	arco	arco	arco	arcum
arcosolium	arcosolium	arcosolio	arcosolio	arcossólio	arcosolium
arctic	arctique	artico	ártico	ártico	arcticum
ardere	ardoir	ardere	arder	arder	ardere
ardoare	ardeur	ardore	ardor	ardor	ardorem
areolă	aréole	areola	areola	aréola	areolam
argilos	argileux	argilloso	arcilloso	argiloso	argillosum
argument	argument	argomento	argumento	argumento	argumentum
argumentație	argumentation	argomentazione	argumentación	argumentação	argumentationem
arhitect	architecte	architetto	arquitecto	arquiteto	architectum
arhitectură	architecture	architettura	arquitectura	arquitetura	architecturam
arhivă	archive	archivio	archivo	arquivo	archivum
arhivoltă	archivolte	archivolto	arquivoltas	arquivoltas	arcivoltam
arie	aire	aia	area	eira	aream
arici	hérisson	riccio	erizo	ouriço	ericium
arid	aride	arido	árido	árido	aridum
arină	arène	rena	arena	areia	arenam
aritmetică	arithmetique	aritmetica	aritmética	aritmética	arithmeticam
armă	arme	arma	arma	arma	arma
armătură	armature	armatura	armadura	armadura	armaturam
armonie	harmonie	armonia	armonía	harmonia	harmoniam
armonic	harmonique	armonico	armónico	harmônico	harmonicum
arogant	arrogant	arrogante	arrogante	arrogante	arrogantem
aroganță	arrogance	arroganza	arrogancia	arrogância	arrogantiam
arsenic	arsenic	arsenico	arsénico	arsênico	arsenicum
artă	art	arte	arte	arte	artem
arteră	artère	arteria	arteria	artéria	arteriam
articol	article	articolo	artículo	artigo	articulum
artificial	artificiel	artificiale	artificial	artificial	artificialem
artificiu	artifice	artificio	artificio	artifício	artificium
artilerie	artillerie	artiglieria	artillería	artilharia	apticulare
artrită	arthrite	artrite	artritis	artrite	arthritis
artritic	arthritique	artritico	artrítico	artrítico	arthriticum
așa	ainsi	cosí	así	assim	eccumsic
ascendent	ascendant	ascendente	ascendente	ascendente	ascendentem
avea	avoir	avere	haber	haver	habere
asculta	ausculter	ascoltare	escuchar	escutar	auscultare
ascuți	aiguiser	aguzzare	aguzar	agusar	acutiare
asesor	assesseur	assessore	asesor	assessor	assessorem
asfalt	asphalte	asfalto	asfalto	asfalto	asphaltum
asiduitate	assiduité	assiduità	asiduidad	assiduidade	assiduitatem
asin	âne	asina	asna	asna	asinum
aspira	aspirer	aspirare	aspirar	aspirar	adspirare
aspru	âpre	aspro	áspero	áspero	asperum
astmă	asthme	asma	asma	asma	asthma
astmatic	asthmatique	asmatico	asmático	asmático	asthmaticum
astragal	astragale	astragalo	astrágalo	astrágalo	astragalum
astral	astral	astrale	astral	astral	astralem
astrolog	astrologue	astrologo	astrólogo	astrólogo	astrologum
astrologie	astrologie	astrologia	astrología	astrologia	astrologiam
astronom	astronome	astronomo	astrónomo	astrónomo	astronomum
astronomic	astronomique	astronomico	astronómico	astronômico	astronomicum
astronomie	astronomie	astronomia	astronomía	astronomia	astronomiam
atare	tel	tale	tal	tal	talem
atavism	atavisme	atavismo	atavismo	atavismo	atavismum
ateu	athée	ateo	ateo	ateu	atheon
atenție	attention	attenzione	atención	atenção	attentionem
atenua	atténuer	attenuare	atenuar	atenuar	attenuare
aticism	atticisme	atticismo	aticismo	aticismo	atticismum
atlet	athlète	atleta	atleta	atleta	athletam
atom	atome	atomo	átomo	átomo	atomum
omnipotență	omnipotence	onnipotenza	omnipotencia	onipotência	omnipotentiam
atracție	attraction	attrazione	atracción	atração	attractionem
atracțiune	attraction	attrazione	atracción	atração	attractionem
atribut	attribut	attributo	atributo	atributo	attributum
atriu	atrium	atrio	atrio	átrio	atrium
atroce	atroce	atroce	atroz	atroz	atrocem
atrocitate	atrocité	atrocità	atrocidad	atrocidade	atrocitatem
atrofie	atrophie	atrofia	atrofia	atrofia	atrophiam
auzi	ouir	udire	oir	ouvir	audire
audibil	audible	udibile	audible	audível	audibilem
augmenta	augmenter	aumentare	aumentar	aumentar	augmentare
aur	or	oro	oro	ouro	aurum
auricular	auriculaire	auricolare	auricular	auricular	auricularem
aurifer	aurifère	aurifero	aurífero	aurífero	auriferum
auster	austere	austero	austero	austero	austerum
austeritate	austérité	austerité	austeridad	austeridade	austeritatem
austral	austral	australe	austral	austral	australem
autentic	authentique	autentico	auténtico	autêntico	authenticum
autoare	auteur	autore	autor	autor	auctorem
autograf	autographe	autografo	autógrafo	autógrafo	autographum
avariție	avarice	avarizia	avaricia	avareza	avaritiam
aventură	aventure	avventura	aventura	aventura	adventuram
avid	avide	avido	ávido	ávido	avidum
avocat	avocat	avvocato	abogado	advogado	advocatum
avort	avortement	aborto	aborto	aborto	abortum
avulsiune	avulsion	avulsione	avulsión	avulsão	avulsionem
axilă	axile	ascella	axila	axila	axillam
axiomă	axiome	assioma	axioma	axioma	axioma
bacantă	bacchante	baccante	bacante	bacante	bacchantem
bacil	bacille	bacillo	bacilo	bacilo	bacillum
bale	bave	bava	baba	baba	babam
balistă	baliste	ballista	balista	balista	ballistam
balnear	balnéaire	balneare	balneario	balneário	balnearem
balneoterapie	balnéotherapie	balneoterapia	balneoterapia	balneoterapia	balneotherapiam
balsam	baume	balsamo	bálsamo	bálsamo	balsamum
barbă	barbe	barba	barba	barba	barbam
barbar	barbare	barbaro	bárbaro	bárbaro	barbarum
barbarie	babarie	barbarie	barbarie	barbárie	barbariam
bășică	vessie	vescica	vejiga	bexiga	vesicam
bate	battre	battere	batir	bater	battuere
bătaie	bataille	battaglia	batalla	batalha	battualiam
bea	boire	bere	beber	beber	bibere
beatifica	béatifier	beatificare	beatificar	beatificar	beatificare
belicos	belliqueux	bellicoso	belicoso	belicoso	bellicosum
beligerant	belligérant	belligerante	beligerante	beligerante	belligerantem
beneficiar	bénéficiaire	beneficiario	beneficiario	beneficiário	beneficiarium
bibliotecă	bibliothèque	biblioteca	biblioteca	biblioteca	bibliothecam
biceps	biceps	bicipite	bíceps	bíceps	biceps
bienal	biennal	biennale	bienal	bienal	biennalem
bigam	bigame	bigamo	bígamo	bígamo	bigamum
bilingv	bilingue	bilingue	bilingüe	bilíngüe	bilinguem
bilios	bilieux	bilioso	bilioso	bilioso	biliosum
bine	bien	bene	bien	bem	bene
binefăcător	bienfaiteur	benefattore	benefactor	benfeitor	benefactorem
bipartiție	bipartition	bipartizione	bipartición	bipartição	bipartitionem
bitum	bitume	bitume	betún	betume	bitumen
bituminos	bitumineux	bituminoso	bituminoso	betuminoso	bituminosum
bizantin	byzantin	bizantino	bizantino	bizantino	byzantinum
bizon	bison	bisonte	bisonte	bisão	bisontem
blasfemia	blasphème	blasfemia	blasfemia	blasfêmia	blasphemiam
bou	boeuf	bove	buey	boi	bovem
borax	borax	borace	bórax	bórax	boracem
boreal	boréal	boreale	boreal	boreal	borealem
boteza	baptiser	battezzare	baptizar	batizar	baptizare
bovin	bovin	bovino	bovino	bovino	bovinum
brahial	brachial	brachiale	braquial	braquial	bracchialem
braț	bras	braccio	brazo	braço	brachium
brut	brut	brutto	bruto	bruto	brutum
brutal	brutal	brutale	brutal	brutal	brutalem
bucă	bouche	bocca	boca	boca	buccam
bucolic	bucolique	bucolico	bucólico	bucólico	bucolicum
buf	bouffon	buffone	bufón	bufón	bufonem
bulb	bulbe	bulbo	bulbo	bulbo	bulbum
bun	bon	buono	bueno	bom	bonum
bunătate	bonté	bontá	bondad	bondade	bonitatem
buric	nombril	ombelico	ombligo	umbigo	umbilicum
busolă	boussole	bussola	brújula	bússola	buxulam
bust	buste	busto	busto	busto	bustum
cabalină	chevalin	cavallino	caballiño	cavalinho	caballinum
cal	cheval	cavallo	caballo	cavalo	caballum
căca	chier	cacare	cagar	cagar	cacare
cădea	choir	cadere	caer	cair	cadere
cadrilater	quadrilatère	quadrilatero	cuadrilátero	quadrilátero	quadrilaterum
caduceu	caducée	caducéo	caduceo	caduceu	caduceum
călare	chevalier	cavagliere	caballero	cavalleiro	caballarem
călca	calquer	calcare	calcar	calcar	calcare
calcula	calculer	calcolare	calcular	calcular	calculare
cald	chaud	caldo	caldo	caldo	calidum
căldare	chaudière	caldaia	caldera	caldeira	caldariam
calendar	calendaire	calendario	calendario	calendário	calendarium
calomnia	calomnier	calunniare	calumniar	calúniar	calumniari
calorific	calorifique	calorifico	calorífico	calorífico	calorificum
calos	calleux	calloso	calloso	caloso	callosum
calviție	calvitie	calvizie	calvicie	calvície	calvitiem
cămașă	chemise	camicia	camisa	camisa	camisiam
camfor	camphre	canfora	alcanfor	cânfora	camphoram
cămilă	chameau	cammello	camello	camelo	camelum
câmp	champ	campo	campo	campo	campum
campană	campane	campana	campaña	campanha	campanam
canal	canal	canale	canal	canal	canalem
candidat	candidat	candidato	candidato	candidato	candidatum
cangrenă	gangrène	cancrena	gangrena	gangrena	gangraenam
canonic	canonique	canonico	canónico	canônico	canonicum
canoniza	canoniser	canonizzare	canonizar	canonizar	canonizare
cantabil	chantable	cantabile	cantabile	cantável	cantabilem
cantilenă	cantilène	cantilena	cantilena	cantilena	cantilenam
cantitate	quantité	quantità	cantidad	quantidade	quantitatem
canulă	canule	cannula	cánula	cânula	cannulam
cap	chef	capo	cabeza	cabo	caput
capă	cape	cappa	capa	capa	cappam
căpăstru	chevêtre	capestro	cabestro	cabresto	capistrum
capilar	capillaire	capillare	capilar	capilar	capillarem
capital	capital	capitale	capital	capital	capitalem
capră	chèvre	capra	cabra	cabra	capram
căprar	chevrier	capraio	cabrero	cabreiro	caprarium
căprăreață	chèvrerie	caprareccia	cabreriza	cabreriza	caprariciam
capsulă	capsule	capsula	cápsula	cápsula	capsulam
car	car	carro	carro	carro	carrum
căra	charrier	carreggiare	acarrear	carrear	carrare
carat	carat	carato	quilate	quilate	quaratum
cărbunar	charbonnier	carbonaio	carbonero	carvoeiro	carbonarium
cărbune	charbon	carbone	carbon	carvão	carbonem
cardinal	cardinal	cardinale	cardinal	cardeal	cardinalem
care	quel	quale	cual	qual	qualem
carie	carie	carie	caries	cárie	cariem
caritate	charité	carità	caridad	caridade	caritatem
carnal	charnel	carnale	carnal	carnal	carnalem
carne	chair	carne	carne	carne	carnem
carnivor	carnivore	carnivoro	carnívoro	carnívoro	carnivorum
carpen	charme	carpino	carpe	carpino	carpinum
carte	carte	carta	libro	carta	chartam
casă	chez	casa	casa	casa	casam
capsă	casse	cassa	caja	caixa	capsam
cast	chaste	casto	casto	casto	castum
castelan	châtelain	castellano	castellano	castelão	castellanum
castel	château	castello	castillo	castelo	castellum
castitate	chasteté	castità	castidad	castidade	castitatem
castor	castor	castoro	castor	castor	castorem
castra	castrer	castrare	castrar	castrar	castrare
acăța	chasser	cacciare	cazar	caçar	captiare
catalog	catalogue	catalogo	catálogo	catálogo	catalogum
catar	catarrhe	catarro	catarro	catarro	catarrhum
catastrofă	catastrophe	catastrofe	catástrofe	catástrofe	catastropham
categorie	catégorie	categoria	categoría	categoria	categoriam
catenă	chaîne	catena	cadena	cadeia	catenam
catetă	cathète	cateto	cateto	cateto	cathetum
cateter	cathéter	catetere	catéter	cateter	catheter
catolic	catholique	cattolico	católico	católico	catholicum
caudal	caudal	caudale	caudal	caudal	caudalem
caustic	caustique	caustico	cáustico	cáustico	causticum
cauză	cause	causa	causa	causa	causam
cauzal	causal	causale	causal	causal	causalem
cauza	causer	causare	causar	causar	causari
cavernă	caverne	caverna	caverna	caverna	cavernam
cavernos	caverneux	cavernoso	cavernoso	cavernoso	cavernosum
cavitate	cavité	cavità	cavidad	cavidade	cavitatem
cazeină	caseus	caseina	caseína	caseína	caseum
cazual	casuel	casuale	casual	casual	casualem
ceară	cire	cera	cera	cera	ceram
celar	cellier	cellaio	cillero	celeiro	cellarium
celeritate	célérité	celerità	celeridad	celeridade	celeritatem
celest	céleste	celeste	celeste	celeste	caelestem
celibat	célibat	celibato	celibato	celibato	caelibatu
cenotaf	cénotaphe	cenotafio	cenotafio	cenotáfio	cenotaphium
cens	cens	censo	censo	censo	censum
centaur	centaure	centauro	centauro	centauro	centaurum
central	central	centrale	central	central	centralem
centru	centre	centro	centro	centro	centrum
centurion	centurion	centurione	centurión	centurião	centurionem
cenușă	cendre	cinigia	ceniza	cinza	cinerem
cenzură	censure	censura	censura	censura	censuram
cep	cep	ceppo	cepo	cepo	cippum
cer	ciel	cielo	cielo	céu	caelum
cerb	cerf	cervo	ciervo	cervo	cervum
cercel	cerceau	cirro	cercillo	cercilho	circellum
cereală	céréale	cereale	cereal	cereal	cerealem
ceremonie	cérémonie	cerimonia	ceremonia	cerimônia	caerimoniam
cere	quérir	chiedere	querer	querer	quaerere
certifica	certifier	certificare	certificar	certificar	certificare
cervical	cervical	cervicale	cervical	cervical	cervical
cervix	cérvix	cervice	cerviz	cerviz	cervicem
cetate	cité	città	ciudad	cidade	civitatem
cezură	césure	cesura	cesura	cesura	caesuram
chear	clair	chiaro	claro	claro	clarum
cheie	clef	chiave	llave	chave	clavim
chema	clamer	chiamare	llamar	chamar	clamare
cheag	quai	caglio	cuajo	coalho	clagorium
chirurgie	chirurgie	chirurgia	cirugía	cirurgia	chirurgiam
cicatrice	cicatrice	cicatrice	cicatriz	cicatriz	cicatricem
cicerone	cicérone	cicerone	cicerone	cicerone	ciceronem
ciclic	cyclique	ciclico	cíclico	cíclico	cyclicum
ciclu	cycle	ciclo	ciclo	ciclo	cyclum
cilindru	cylindre	cilindro	cilindro	cilindro	cylindrum
cimitir	cimetière	cimitero	cementerio	cemitério	coemeterium
cinci	cinq	cinque	cinco	cinco	quinque
cincinal	quinquennal	quinquennale	quinquenal	quinquenal	quinquennalem
cînd	quand	quando	cuando	quando	quando
cină	cène	cena	cena	ceia	cenam
cânepă	chanvre	canapa	cáñamo	cânhamo	cannabem
cinerar	cinéraire	cinerario	cinerario	cinerário	cinerarium
cinge	ceindre	cingere	ceñir	cingir	cingere
chingă	sangle	cingolo	cíngulo	cíngulo	cingulum
cinic	cynique	cinico	cínico	cínico	cynicum
cinism	cynisme	cinismo	cinismo	cinismo	cynismum
circ	cirque	circo	circo	circo	circum
circuit	circuit	circuito	circuito	circuito	circuitum
circumcide	circoncire	circoncidere	circuncidar	circuncidar	circumcidere
circumferență	circonférence	circonferenza	circunferencia	circunferência	circumferentiam
circumscrie	circonscrire	circoscrivere	circunscribir	circunscrever	circumscribere
circumspect	circonspect	circospetto	circunspecto	circunspecto	circumspectum
circumspecție	circonspection	circospezione	circunspección	circunspecção	circumspectionem
circumspecțiune	circonspection	circospezione	circunspección	circunspecção	circumspectionem
circumstanță	circonstance	circostanza	circunstancia	circunstância	circumstantiam
cireașă	cerise	ciliegia	cereza	cereja	cerasum
cisalpin	cisalpin	cisalpino	cisalpino	cisalpino	cisalpinum
cistă	ciste	cista	cista	cista	cistam
cita	citer	citare	citar	citar	citare
citrin	citrine	citrino	citrino	citrina	citrinum
civil	civil	civile	civil	civil	civilem
civilitate	civilité	civiltà	civilidad	civilidade	civilitatem
clandestin	clandestin	clandestino	clandestino	clandestino	clandestinum
clasă	classe	classe	clase	classe	classem
clasic	classique	classico	clásico	clássico	classicum
claustr	cloître	chiostro	claustro	claustro	claustrum
claustra	claustrer	chiostrare	claustrar	claustrar	claustrare
claviculă	clavicule	clavicola	clavícula	clavícula	claviculam
clement	clément	clemente	clemente	clemente	clementem
clemență	clémence	clemenza	clemencia	clemência	clementiam
cler	clergé	clero	clero	clero	clerum
clerical	clérical	clericale	clerical	clerical	clericalem
client	client	cliente	cliente	cliente	clientem
clientelă	clientèle	clientela	clientela	clientela	clientelam
climă	climat	clima	clima	clima	climam
clinic	clinique	clinico	clínico	clínico	clinicum
cloacă	cloaque	cloaca	cloaca	cloaca	cloacam
coace	cuire	cuocere	cocer	cozer	coquere
coagula	coaguler	coagulare	coagular	coagular	coagulare
coapsă	cuisse	coscia	cuja	coxa	coxam
coardă	corde	corda	cuerda	corda	chordam
corn	corne	corno	corno	corno	cornum
coase	coudre	cucire	coser	coser	consuere
coastă	côte	costa	cuesta	costa	costam
cot	coude	gomito	codo	coto	cubitum
copt	cuit	cotto	cocho	cocto	coctum
coerent	coherent	coerente	coherente	coerente	cohaerentem
coerență	cohérence	coerenza	coherencia	coerência	cohaerentiam
coeziune	cohésion	coesione	cohesión	coesão	cohaesionem
cohlee	cochlée	coclea	cóclea	cóclea	cochleam
coif	coiffe	cuffia	cofia	coifa	cofeam
colabora	collaborer	collaborare	colaborar	colaborar	collaborare
colaps	collapse	collasso	colapso	colapso	collapsum
colectiv	collectif	collettivo	colectivo	coletivo	collectivum
coleg	collègue	collega	colega	colega	collegam
colină	choline	collina	colina	colina	collinam
coliziune	collision	collisione	colisión	colisão	collisionem
coloană	colonne	colonna	columna	coluna	columnam
colocviu	colloque	colloquio	coloquio	colóquio	colloquium
culoare	couleur	colore	color	cor	colorem
colos	colose	colosso	coloso	colosso	colossum
colastră	colostrum	colostro	calostro	colostro	colostrum
