ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
-	abneɡe	abneɡare	abneɣaɾ	ɐbnɨɡaɹ	abnɛɡarɛ
abnorm	-	abnɔrme	-	-	abnormɛm
-	-	-	abnwiɾ	ɐbnuiɹ	abnʊɛrɛ
-	abolisjɔ̃	abolitsione	aβoliθjon	ɐbulisɐ̃ʊ̃	abɔlɪtɪonɛm
-	-	abɔmazo	aβomaso	ɐbumazʊ	abɔmasʊm
-	abominasjɔ̃	abominatsione	aβominaθjon	ɐbuminɐsɐ̃ʊ̃	abomɪnatɪonɛm
-	abomine	-	-	-	abomɪnarɛ
-	abomine	abominare	aβominaɾ	ɐbuminaɹ	abomɪnari
-	-	abradere	-	-	abradɛrɛ
-	-	-	-	ɐbɹɨnũŋsiɐsɐ̃ʊ̃	abrɛnʊntɪatɪonɛm
-	-	-	aβɾoɣaθjon	abʁuɡɐsɐ̃ʊ̃	abrɔɡatɪonɛm
abroɡa	abʁoʒe	abroɡare	aβɾoɣaɾ	abʁuɡaɹ	abrɔɡarɛ
-	oʁɔn	abrotano	aβɾotano	ɐbɹɔtɐnʊ	abrɔtɔnʊm
-	abʁɔ̃pʁ	-	-	-	abrʊmpɛrɛ
-	-	-	-	ɐbɹupsɐ̃ʊ̃	abrʊptɪonɛm
-	absis	-	aβsθisa	-	abskɪndɛrɛ
-	-	-	-	ɐbsisɐ	abskɪssam
askunde	abskɔ̃dʁ	askondere	eskondeɾ	ʃkuŋdeɹ	abskɔndɛrɛ
askuns	abskɔ̃	askozo	eskuso	-	abskɔnsʊm
-	-	-	aʊsentaɾ	-	absɛntarɛ
-	absolysjɔ̃	assolutsione	aβsoluθjon	ɐbsulusɐ̃ʊ̃	absɔlutɪonɛm
absolvʲi	absudʁ	assolvere	aβsolβeɾ	ɐbsulveɹ	absɔlwɛrɛ
-	absɔʁpsjɔ̃	-	aβsoɾθjon	ɐbsuɾəsɐ̃ʊ̃	absɔrptɪonɛm
-	-	astemio	aβstemjo	ɐbstɛmjʊ	abstemɪʊm
-	abstɛʁʒe	astɛrdʒere	aβsteɾxeɾ	ɐbstɨɾəʒeɹ	abstɛrɡerɛ
abtsine	abstniʁ	astenere	aβsteneɾ	ɐbsteɹ	abstɪnerɛ
abstradʒe	abstʁɛʁ	astrarre	aβstɾaeɾ	ɐbstɹɐiɹ	abstrahɛrɛ
-	-	-	-	ɐbstɹuiɹ	abstrudɛrɛ
-	-	-	-	ɐbstɹuzɐ̃ʊ̃	abstrusɪonɛm
-	abstʁy	astruzo	-	-	abstrusʊm
absurditate	absyʁdite	assurdita	aβsuɾðiðad	ɐbsuɾədidadɨ	absʊrdɪtatɛm
-	-	-	aβundantisimo	-	abʊndantɪssɪmʊm
-	-	-	-	ɐbuzɐ̃ʊ̃	abusɪonɛm
abuziv	abyzif	-	aβusiβo	ɐbuzivʊ	abusiwʊm
abuza	abyze	abuzare	-	ɐbuzaɹ	abuti
-	abim	abisso	aβismo	ɐbiʒmʊ	abyssʊm
-	akademi	akkadɛmia	akaðemja	ɐkɐdɨmiɐ	akademiam
akantə	akɑ̃t	akanto	akanto	ɐkɐ̃ŋtʊ	akantʰʊm
-	-	-	-	ɐkɐtɐlɨpsiɐ	akatalepsɪam
-	-	-	akalðaɾ	-	akkapɪtarɛ
-	aksede	atʃʃedere	akθeðeɾ	ɐsɨdeɹ	akkedɛrɛ
-	-	-	-	ɐsɨleɾɐtɔɾjʊ	akkɛlɛratorɪʊm
-	-	atʃʃɛndere	-	ɐseɪŋdeɹ	akkɛndɛrɛ
aktʃent	aksɑ̃	atʃʃɛnto	aθɛnto	ɐseɪŋtʊ	akkɛntʊm
-	aksɛpsjɔ̃	atʃʃetsione	aθepθjon	ɐsɨpsɐ̃ʊ̃	akkɛptɪonɛm
-	aksɛsjɔ̃	atʃʃession	akθesjon	ɐsɨsɐ̃ʊ̃	akkɛssɪonɛm
-	aksɛswaʁ	atʃʃessɔrio	-	ɐsɨsɔɾjʊ	akkɛssorɪʊm
-	-	-	akθeso	ɐsɛsʊ	akkɛssʊm
-	-	-	-	ɐsideɪŋtɨ	akkɪdɛntɛm
-	-	-	-	ɐsideɪŋsjɐ	akkɪdɛntɪam
-	aksɛpte	atʃʃettare	aθepptaɾ	ɐseɪtaɹ	akkɪpɛrɛ
-	otuʁ	astore	aθoɾ	ɐsoɹ	astʊrɛm
-	-	-	aklaɾaɾ	ɐklɐɾaɹ	akklararɛ
-	-	akkline	-	-	akklinɛm
-	-	-	-	ɐklividadɨ	akkliwɪtatɛm
-	akɔmodasjɔ̃	akkomodatsione	akomoðaθjon	ɐkumudɐsɐ̃ʊ̃	akkɔmmɔdatɪonɛm
-	-	-	akonsexaɾ	ɐkuŋsɨʎaɹ	akkɔŋkɪlɪarɛ
-	-	akkreʃere	akɾeθeɾ	ɐkɹɨseɹ	akkreskɛrɛ
akretsje	akʁesjɔ̃	akkretsione	akɾeθjon	ɐkɹɨsɐ̃ʊ̃	akkretɪonɛm
-	-	-	-	ɐkubitʊ	akkʊbɪtʊm
-	akymylasjɔ̃	akkumulatsione	akumulaθjon	ɐkumulɐsɐ̃ʊ̃	akkʊmʊlatɪonɛm
-	-	-	akuɾaɾ	-	akkurarɛ
-	akuʁiʁ	akkɔrrere	akoreɾ	ɐkuʁeɹ	akkʊrrɛrɛ
-	akyzabl	akkuzabile	-	ɐkuzavɛl	akkusabɪlɛm
-	-	-	-	ɐkuzɐ̃ŋtɨ	akkusantɛm
akuzatsje	akyzasjɔ̃	akkuzatsione	akusaθjon	ɐkuzɐsɐ̃ʊ̃	akkusatɪonɛm
akuzətor	akyzatœʁ	akkuzatore	akusaðoɾ	ɐkuzɐdoɹ	akkusatorɛm
-	akyzatwaʁ	akkuzatɔrio	akusatoɾjo	ɐkuzɐtɔɾjʊ	akkusatorɪʊm
-	-	akkuzatritʃe	-	-	akkusatrikɛm
akuza	akyze	akkuzare	akusaɾ	ɐkuzaɹ	akkusarɛ
-	-	atʃʃidia	-	ɐsɛdjɐ	akedɪam
-	-	-	aθefalo	ɐsɛfɐlʊ	akɛpʰalʊm
artsar	eʁabl	atʃero	aθeɾe	asɨɹ	akrɛm
-	-	atʃerbita	aθeɾβiðad	ɐsɨɾəbidadɨ	akɛrbɪtatɛm
atʃerb	asɛʁb	atʃɛrbo	aθeɾβo	ɐsɛɾəbʊ	akɛrbʊm
-	-	tʃɛrnia	-	-	akɛrnɪam
-	-	-	-	ɐsɨɾəvɐsɐ̃ʊ̃	akɛrwatɪonɛm
-	-	-	aθeɾβaɾ	-	akɛrwarɛ
-	-	-	aθeɾβo	ɐseɾəvʊ	akɛrwʊm
atʃetabul	asetabyl	atʃetabolo	-	ɐsɨtabulʊ	aketabʊlʊm
otset	-	atʃeto	aθeðo	ɐzedʊ	aketʊm
-	aɡat	aɡata	aɣata	aɡɐtɐ	akʰaten
atsə	-	atʃʃa	-	-	akɪam
-	-	-	-	ɐsikulɐ	akɪkʊlam
-	-	atʃidita	-	ɐsididadɨ	akɪdɪtatɛm
-	asje	atʃʃaio	aθ	aʃ	akɪɛm
-	-	atʃino	-	asinʊ	akɪnʊm
-	-	akonito	-	ɐkonitʊ	akɔnitʊm
-	akjɛse	-	-	ɐkiɨseɹ	akkwɪeskɛrɛ
-	akeʁiʁ	akkwizire	adkiɾiɾ	ɐdkiɾiɹ	akkwirɛrɛ
akizitsje	akizisjɔ̃	akkwizitsione	adkisiθjon	ɐkizisɐ̃ʊ̃	akkwɪsitɪonɛm
-	akʁimoni	akrimɔnia	akɾimonja	ɐkɹimonjɐ	akrɪmonɪam
-	akʁəte	-	-	ɐkɹidadɨ	akrɪtatɛm
-	-	-	akɾitud	ɐkɹitudɨ	akrɪtudɪnɛm
-	-	-	-	ɐkɹuɐ̃mɐ	akrɔama
-	-	-	akta	atɐ	akta
-	-	-	-	ɐteɪɐ	aktaɪam
aktivitate	aktivite	attivita	aktiβiðad	ɐtividadɨ	aktiwɪtatɛm
-	aktif	attivo	aktiβo	ɐtivʊ	aktiwʊm
aktor	aktœʁ	attore	aktoɾ	ɐtoɹ	aktorɛm
-	aktʁis	attritʃe	aktɾiθ	ɐtɹiʃ	aktrikɛm
-	aktyɛl	attuale	-	ɐtuɑl	aktʊalɛm
-	aktyɛʁ	attuario	aktwaɾjo	-	aktʊarɪʊm
-	-	attuare	aktwaɾ	ɐtuaɹ	aktʊarɛ
akt	akt	atto	akto	atʊ	aktʊm
akar	-	-	-	-	akʊarɪʊm
akulew	eɡlɑ̃tje	akuleo	akuleo	ɐkuliʊ	akʊlɛʊm
-	-	akume	akumen	-	akumɛn
-	-	akuminare	-	ɐkuminaɹ	akumɪnarɛ
ak	-	aɡo	-	-	akʊm
-	-	-	aðekwaθjon	-	adaɪkwatɪonɛm
-	-	-	aðekwaɾ	-	adaɪkwarɛ
djamant	ɛmɑ̃	adamante	aðamante	ɐdɐmɐ̃ŋtɨ	adamantɛm
-	-	-	aðamaɾ	-	adamarɛ
adəwɡa	-	-	-	-	adaʊɡerɛ
-	-	addetʃimare	-	-	addɛkɪmarɛ
-	-	addire	aðikaɾ	-	addikɛrɛ
adiktsie	adiksjɔ̃	-	aðikθjon	ɐdisɐ̃ʊ̃	addɪktɪonɛm
-	adikt	addetto	aðikto	ɐditʊ	addɪktʊm
-	-	-	aðitamɛnto	ɐditɐmeɪŋtʊ	addɪtamɛntʊm
-	adisjɔ̃	additsione	aðiθjon	ɐdisɐ̃ʊ̃	addɪtɪonɛm
-	-	-	aðiɾ	ɐdiɹ	addɛrɛ
adormʲi	-	addormire	aðoɾmiɾ	ɐduɾəmiɹ	addɔrmirɛ
-	-	-	aðoɾmeθeɾ	ɐduɾəmɨseɹ	addɔrmiskɛrɛ
-	-	adire	aðiɾ	-	adirɛ
-	-	adespoto	-	-	adɛspɔtɔn
-	-	addjatʃʃo	-	-	adɪakerɛ
-	-	-	-	ɐdiɐ̃ŋtʊ	adɪantʊm
-	-	adipe	-	adipɨ	adɪpɛm
-	-	adito	-	aditʊ	adɪtʊm
-	adʒydikasjɔ̃	adʒʒudikatsione	aðxuðikaθjon	ɐdʒudikɐsɐ̃ʊ̃	adɪudɪkatɪonɛm
adʒudeka	adʒyʒe	adʒʒudikare	aðxuðikaɾ	ɐdʒudikaɹ	adɪudɪkarɛ
-	adʒɔ̃ksjɔ̃	adʒʒuntsione	-	ɐdʒũŋsɐ̃ʊ̃	adɪʊŋktɪonɛm
-	-	adʒʒunto	aðxunto	ɐdʒũŋtʊ	adɪʊŋktʊm
aʒuŋdʒe	adʒwɛ̃dʁ	adʒʒundʒere	-	ɐdʒũŋʒiɹ	adɪʊŋɡɛrɛ
-	adʒyʁasjɔ̃	-	-	ɐdʒuɾɐsɐ̃ʊ̃	adɪuratɪonɛm
-	-	-	-	ɐdʒuɾɐdoɹ	adɪuratorɛm
-	adʒyʁe	-	-	-	adɪurarɛ
aʒutor	-	-	-	-	adɪutorɪʊm
-	-	adjuvare	-	-	adɪʊwarɛ
-	-	-	adminikulo	ɐdminikulʊ	admɪnɪkʊlʊm
-	administʁe	amministrare	administɾaɾ	ɐdminiʃtɹaɹ	admɪnɪstrarɛ
admiɾabil	admiʁabl	ammirabile	admiɾaβle	-	admirabɪlɛm
-	-	-	-	ɐdmiɾɐbilidadɨ	admirabɪlɪtatɛm
-	-	-	-	ɐdmiɾɐdoɹ	admiratorɛm
-	-	-	-	ɐdmisoɹ	admɪssorɛm
admite	admɛtʁ	ammettere	admitiɾ	ɐdmitiɹ	admɪttɛrɛ
-	admonɛste	ammonire	amonestaɾ	ɐdmuɨʃtaɹ	admɔnerɛ
-	admonisjɔ̃	ammonitsione	admoniθjon	ɐdmunisɐ̃ʊ̃	admɔnɪtɪonɛm
-	-	annodare	-	-	adnodarɛ
-	-	annuire	anwiɾ	ɐnuiɹ	adnʊɛrɛ
adja	-	-	-	-	adɔlerɛ
-	-	-	-	ɐdulɨseɹ	adɔleskɛrɛ
-	adoʁasjɔ̃	adoratsione	aðoɾaθjon	ɐduɾɐsɐ̃ʊ̃	adoratɪonɛm
-	-	-	aðoɾnaɾ	-	adornarɛ
adoɾa	adoʁe	adorare	aðoɾaɾ	ɐduɾaɹ	adorarɛ
-	adylasjɔ̃	-	aðulaθjon	ɐdulɐsɐ̃ʊ̃	adulatɪonɛm
-	adylatœʁ	adulatore	aðulaðoɾ	ɐdulɐdoɹ	adulatorɛm
-	adolɛsɑ̃s	adoleʃɛntsa	aðolesθɛnθja	ɐdulɨseɪŋsjɐ	adʊleskɛntɪam
-	adyle	adulare	aðulaɾ	ɐdulaɹ	adulari
-	avutʁ	-	aðulteɾo	ɐdultɨɾʊ	adʊltɛrʊm
-	-	adulterino	aðulteɾino	-	adʊltɛrinʊm
-	adylteʁe	adulterare	aðulteɾaɾ	ɐduwtɨɾaɹ	adʊltɛrarɛ
adumbri	-	adombrare	-	-	adʊmbrarɛ
-	-	-	-	ɐdunɐsɐ̃ʊ̃	adunatɪonɛm
adɨnk	-	adunko	aðunko	ɐdũŋkʊ	adʊŋkʊm
aduna	-	adunare	aʊnaɾ	-	adunarɛ
-	-	-	aðuɾiɾ	-	adurɛrɛ
-	-	-	aðβekθjon	ɐdvɛsɐ̃ʊ̃	adwɛktɪonɛm
-	-	-	-	advɨnɐ	adwɛnam
-	avniʁ	avvenire	aβeniɾ	ɐviɹ	adwɛnirɛ
-	advɛʁbjal	avverbjale	aðβeɾβjal	ɐdvɨɾəbiɑl	adwɛrbɪalɛm
-	-	-	-	ɐdvɨɾəsɐ̃ʊ̃	adwɛrsɪonɛm
-	-	-	aðβeɾsaɾ	-	adwɛrsari
-	-	-	-	ɐdvɨɾəteɪŋsjɐ	adwɛrtɛntɪam
-	avɛʁtiʁ	avvertire	aðβeɾtiɾ	ɐdvɨɾətiɹ	adwɛrtɛrɛ
-	-	-	aðβokaθjon	ɐdvukɐsɐ̃ʊ̃	adwɔkatɪonɛm
-	avwe	-	aβoɣaɾ	-	adwɔkarɛ
-	-	avvoldʒere	-	-	adwɔlwɛrɛ
-	-	-	-	aditʊ	adytʊm
-	-	edikola	-	edikulɐ	aɪdɪkʊlam
-	-	-	eðifikaθjon	edifikɐsɐ̃ʊ̃	aɪdɪfɪkatɪonɛm
-	edifje	edifikare	eðifikaɾ	edifikaɹ	aɪdɪfɪkarɛ
-	edil	-	eðil	ɨdil	aɪdilɛm
-	-	-	eðiliðad	edilidadɨ	aɪdilɪtatɛm
-	-	eɡro	-	ɛɡɹʊ	aɪɡrʊm
-	-	edʒitsiako	aθjaɣo	ɐziaɡʊ	aɪɡyptɪakʊm
-	-	edʒitsio	-	-	aɪɡyptɪʊm
-	-	emulatore	-	emulɐdoɹ	aɪmʊlatorɛm
-	-	emulatritʃe	-	-	aɪmʊlatrikɛm
-	emyl	ɛmulo	emulo	ɛmulʊ	aɪmʊlʊm
-	-	-	eneo	ɛniʊ	aenɛʊm
-	-	-	-	ekwɐbilidadɨ	aɪkwabɪlɪtatɛm
-	eɡalite	-	iɣwalðad	iɡwɑldadɨ	aɪkwalɪtatɛm
-	-	ekwanime	-	-	aɪkwanɪmɛm
-	ekwanimite	ekwanimita	ekwanimiðad	ekwɐnimidadɨ	aɪkwanɪmɪtatɛm
-	ekwatoʁjal	-	-	-	aɪkwatɔrɪalɛm
-	ekilibʁ	ekwilibrio	ekiliβɾio	ekilibrjʊ	aɪkwɪlibrɪʊm
-	-	-	ekipaɾaɾ	-	aɪkwɪpararɛ
-	-	ekwipaɾare	ekipaɾaɾ	ekipɐɾaɹ	aɪkwɪpɛrarɛ
-	-	ekwizono	-	-	aɪkwɪsɔnʊm
-	-	-	-	ekivɐleɪŋsjɐ	aɪkwɪwalɛntɪam
-	ekivalwaʁ	ekwivalɛre	ekiβaleɾ	-	aɪkwɪwalerɛ
-	-	-	-	ekivukɐsɐ̃ʊ̃	aɪkwɪwɔkatɪonɛm
-	-	ekwivokare	ekiβokaɾ	-	aɪkwɪwɔkarɛ
-	-	-	-	ekwɔɾiʊ	aɪkwɔrɛʊm
-	-	ɛkwo	-	ɛkwʊ	aɪkwʊm
ajer	ɛʁ	aria	aɪɾe	aɹ	aɛrɛm
eɾə	ɛʁ	ɛra	eɾa	ɛɾɐ	aɪram
-	-	erario	-	eɾaɾjʊ	aɪrarɪʊm
-	-	-	-	ɛɾiʊ	aɪrɛʊm
-	-	-	aeɾeo	ɐɛɾiʊ	aɛrɪʊm
-	aeʁomɑ̃si	aeromantsia	aeɾomanθia	ɐɨɾumɐ̃ŋsiɐ	aɛrɔmantiam
-	-	erozo	-	-	aɪrosʊm
rudʒinos	eʁyʒinø	rudʒʒinozo	eɾuxinoso	ɐɨɾuʒinozʊ	aɪruɡɪnosʊm
rudʒinə	-	rudʒʒine	eɾuxine	ɐɨɾuʒitɐ	aɪruɡɪnɛm
-	-	eskio	-	ɛʃkulʊ	aɪskʊlʊm
-	ete	estate	estio	ɨʃtiʊ	aɪstatɛm
-	-	stimabile	-	-	aɪstɪmabɪlɛm
-	-	-	-	ʃtimɐsɐ̃ʊ̃	aɪstɪmatɪonɛm
-	-	-	-	ʃtimɐtivɐ	aɪstɪmatɪwatɛm
-	ɛstival	estivo	estio	ɨʃtiʊ	aɪstiwʊm
etate	aʒ	eta	eðad	idadɨ	aɪtatɛm
-	etɛʁ	etere	-	ɛtɨɹ	aɪtʰɛrɛm
-	eteʁe	etɛreo	-	etɛɾiʊ	aɪtʰɛrɪʊm
ev	-	ɛvo	eβo	ɛvʊ	aɪwʊm
-	afɛksjɔ̃	affetsione	afekθjon	ɐfeɪsɐ̃ʊ̃	affɛktɪonɛm
-	-	affɛtto	afekto	ɐfɛtʊ	affɛktʊm
-	-	-	afjanθaɾ	ɐfiɐ̃ŋsaɹ	affɪdɛntɪarɛ
-	afiʁmasjɔ̃	affermatsione	afiɾmaθjon	ɐfiɾəmɐsɐ̃ʊ̃	affɪrmatɪonɛm
-	afiʁme	affermare	afiɾmaɾ	ɐfiɾəmaɹ	affɪrmarɛ
-	afliksjɔ̃	afflitsione	aflikθjon	ɐflisɐ̃ʊ̃	afflɪktɪonɛm
-	afliʒe	afflidʒʒere	aflixiɾ	ɐfliʒiɹ	affliɡɛrɛ
afla	-	-	aʎaɾ	ɐʃaɹ	afflarɛ
-	-	-	afluɛnθja	ɐflweɪŋsjɐ	afflʊɛntɪam
afluj	aflye	affluire	afluiɾ	ɐfluiɹ	afflʊɛrɛ
-	-	-	afɾiko	-	afrɪkʊm
-	-	-	aɣape	aɡɐpɨ	aɡapen
-	aɡaʁik	aɡariko	-	ɐɡaɾikʊ	aɡarɪkʊm
aɡru	ɛʁ	aɡro	aɣɾo	aɡɹʊ	aɡrʊm
-	-	ardʒine	aɾθe	-	aɡɡɛrɛm
-	-	aɡɡlomerare	aɣlomeɾaɾ	ɐɡlumɨɾaɹ	aɡɡlɔmɛrarɛ
-	aɡlytine	aɡɡlutinare	-	-	aɡɡlutɪnarɛ
-	aɡʁave	aɡɡravare	aɣɾaβaɾ	ɐɡɹɐvaɹ	aɡɡrawarɛ
-	aɡʁɛse	aɡɡredire	aɣɾeðiɾ	ɐɡɹɨdiɹ	aɡɡrɛdi
-	aɡʁeɡasjɔ̃	-	aɣɾeɣaθjon	ɐɡɹɨɡɐsɐ̃ʊ̃	aɡɡrɛɡatɪonɛm
-	aɡʁeʒe	aɡɡreɡare	aɣɾeɣaɾ	ɐɡɹɨɡaɹ	aɡɡrɛɡarɛ
-	aʒilite	adʒilita	axiliðad	ɐʒilidadɨ	aɡɪlɪtatɛm
-	-	-	aina	-	aɡinam
-	-	-	axitaðoɾ	ɐʒitɐdoɹ	aɡɪtatorɛm
adʒitaɾe	aʒite	adʒitare	axitaɾ	ɐʒitaɹ	aɡɪtarɛ
-	-	-	aɡnaθjon	-	aŋnatɪonɛm
-	aɲa	aɲato	aɡnaðo	ɐɡnatʊ	aŋnatʊm
mjalə	aɲɛl	aɲɛlla	-	-	aŋnɛllam
mjel	aɲo	aɲɛllo	-	-	aŋnɛllʊm
-	-	-	aɲino	-	aŋninʊm
-	-	-	-	ɐɡnisɐ̃ʊ̃	aŋnɪtɪonɛm
-	-	-	aɡnomɛnto	-	aŋnomɛntʊm
-	-	-	-	ɐ̃ɲʊ	aŋnʊm
-	aʒiʁ	adʒire	axiɾ	ɐʒiɹ	aɡɛrɛ
-	-	-	-	ɐɡuɾɐpɐpiɐmeɪŋtu	aɡɔram
-	aɡʁɛʁ	-	aɣɾaɾjo	-	aɡrarɪʊm
-	-	-	-	ɐɡɹɛlɐ	aɡrɛllʊm
-	aɡʁɛst	aɡrɛste	aɣɾeste	ɐɡɹɛʃtɨ	aɡrɛstɛm
aɡrimensor	-	aɡrimensore	aɣɾimensoɾ	ɐɡɹimeɪŋsoɹ	aɡrimensorɛm
alabastru	albatʁ	alabastro	alaβastɾo	ɐlɐbaʃtɹʊ	alabastrʊm
-	alɛɡʁ	alleɡro	aleɣɾe	ɐlɛɡɹɨ	alakrɛm
-	alakʁite	alakrita	alakɾiðad	ɐlɐkɹidadɨ	alakrɪtatɛm
aɾipə	ob	lapatssa	-	abɐ	alapam
-	-	-	alaðo	-	alatʊm
-	alwɛt	allɔdola	alondɾa	-	alaʊdam
-	alɔz	aloza	-	-	alaʊsam
-	-	-	alβeɾo	ɑlveɪɾʊ	albarɪʊm
albʲ	-	-	-	-	albeskɛrɛ
-	-	-	alβuxine	-	albuɡɪnɛm
-	-	albume	alβumina	-	albumɛn
-	-	-	-	ɑlbuɾənʊ	albʊrnʊm
-	-	-	alθeðon	-	alkedɪnɛm
-	-	altʃe	alθe	ɑlsɨ	alkɛm
